canonical_gp,gp_display_name,fund_name,vintage_year,fund_category,sub_strategy,fund_size_usd_m,fund_size_confidence,firm_aum_usd_b,firm_founded,hq_city,investment_focus,stage_focus,notable_portfolio,source,reporting_period,tvpi,dpi,net_irr,irr_meaningful,performance_note,gross_tvpi,gross_dpi,data_source_type,vintage_source
ARCH Venture Partners,ARCH Venture Partners,ARCH Venture Fund IX L.P.,2012.0,Venture,US VC - Deep Science,100.0,Derived from UTIMCO capital_contributed,3.0,1986.0,"Chicago, IL",Deep science VC,Early Stage,"Illumina, Editas, Alnylam, GRAIL",UTIMCO,2023-02-28,2.7233,1.46,0.286,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
ARCH Venture Partners,ARCH Venture Partners,ARCH Venture Fund VI L.P.,2000.0,Venture,US VC - Deep Science,30.004283,Derived from UTIMCO capital_contributed,3.0,1986.0,"Chicago, IL",Deep science VC,Early Stage,"Illumina, Editas, Alnylam, GRAIL",UTIMCO,2023-02-28,1.2559,1.25,0.0252,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
ARCH Venture Partners,ARCH Venture Partners,ARCH Venture Fund VII L.P.,2006.0,Venture,US VC - Deep Science,40.0,Derived from UTIMCO capital_contributed,3.0,1986.0,"Chicago, IL",Deep science VC,Early Stage,"Illumina, Editas, Alnylam, GRAIL",UTIMCO,2023-02-28,5.0006,4.64,0.3792,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
ARCH Venture Partners,ARCH Venture Partners,ARCH Venture Fund VIII L.P.,2009.0,Venture,US VC - Deep Science,40.0,Derived from UTIMCO capital_contributed,3.0,1986.0,"Chicago, IL",Deep science VC,Early Stage,"Illumina, Editas, Alnylam, GRAIL",UTIMCO,2023-02-28,3.9358,2.26,0.2229,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
ARCH Venture Partners,ARCH Venture Partners,ARCH Venture Fund X L.P.,2015.0,Venture,US VC - Deep Science,91.5,Derived from UTIMCO capital_contributed,3.0,1986.0,"Chicago, IL",Deep science VC,Early Stage,"Illumina, Editas, Alnylam, GRAIL",UTIMCO,2023-02-28,2.1937,0.01,0.3482,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
ARCH Venture Partners,ARCH Venture Partners,ARCH Venture Fund XI L.P.,2017.0,Venture,US VC - Deep Science,83.32608,Derived from UTIMCO capital_contributed,3.0,1986.0,"Chicago, IL",Deep science VC,Early Stage,"Illumina, Editas, Alnylam, GRAIL",UTIMCO,2023-02-28,1.3763,0.0,0.2617,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
ARCH Venture Partners,ARCH Venture Partners,ARCH Venture Fund XII L.P.,2020.0,Venture,US VC - Deep Science,15.76727,Derived from UTIMCO capital_contributed,3.0,1986.0,"Chicago, IL",Deep science VC,Early Stage,"Illumina, Editas, Alnylam, GRAIL",UTIMCO,2023-02-28,0.9989,0.0,-0.0016,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Accel-KKR,Accel-KKR,"Accel-KKR Capital Partners VII, LP",2025.0,PE,PE Buyout,3500.0,Estimated,10.0,2000.0,Menlo Park CA,Technology buyout,Buyout,,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. No meaningful performance data yet.,,,LP-Disclosed,unknown
Accel-KKR,Accel-KKR,Accel-KKR Company LLC,2000.0,PE,PE Buyout,400.0,Estimated,10.0,2000.0,Menlo Park CA,Technology buyout,Buyout,"Barracuda Networks, Vertafore, WebMD Health Services",WSIB,ir093024,2.3,2.32,0.0815,True,Mature fund — fully realized. DPI > TVPI indicates full distribution.,,,LP-Disclosed,unknown
Alta Partners,Alta Partners,Alta Partners NextGen Fund I L.P.,,Venture,US VC - Life Sciences,47.10137,Derived from UTIMCO capital_contributed,1.0,1996.0,"San Francisco, CA",Life sciences VC,Life Sciences,Biotech venture,UTIMCO,2023-02-28,4.1395,1.47,0.5828,False,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,unknown
Alta Partners,Alta Partners,Alta Partners NextGen Fund II L.P.,,Venture,US VC - Life Sciences,43.45639,Derived from UTIMCO capital_contributed,1.0,1996.0,"San Francisco, CA",Life sciences VC,Life Sciences,Biotech venture,UTIMCO,2023-02-28,1.8086,0.0,0.3206,False,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,unknown
Ampersand Capital Partners,Ampersand Capital Partners,Ampersand 2001 Limited Partnership,2001.0,Growth,US VC - Life Sciences/Growth,25.00606,Derived from UTIMCO capital_contributed,2.0,1988.0,"Wellesley, MA",Life sciences growth,Growth,Healthcare and life sciences,UTIMCO,2023-02-28,2.6127,2.61,0.1678,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,name
Ampersand Capital Partners,Ampersand Capital Partners,Ampersand 2006 Limited Partnership,2006.0,Growth,US VC - Life Sciences/Growth,25.0,Derived from UTIMCO capital_contributed,2.0,1988.0,"Wellesley, MA",Life sciences growth,Growth,Healthcare and life sciences,UTIMCO,2023-02-28,3.1327,3.12,0.1649,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,name
Ampersand Capital Partners,Ampersand Capital Partners,Ampersand IV Limited Partnership,2011.0,Growth,US VC - Life Sciences/Growth,20.00147,Derived from UTIMCO capital_contributed,2.0,1988.0,"Wellesley, MA",Life sciences growth,Growth,Healthcare and life sciences,UTIMCO,2023-02-28,2.5516,2.55,0.1644,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
