canonical_gp,gp_display_name,fund_name,vintage_year,fund_category,sub_strategy,fund_size_usd_m,fund_size_confidence,firm_aum_usd_b,firm_founded,hq_city,investment_focus,stage_focus,notable_portfolio,source,reporting_period,gross_tvpi,tvpi,gross_dpi,dpi,gross_irr,net_irr,irr_meaningful,performance_note,data_source_type
a16z,Andreessen Horowitz,AH Fund I,2009,Venture,Multi-Stage VC,300,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Skype, Instagram, Lyft, Twitter, GitHub",a16z Firm Disclosure,2025-Q3,9.3,6.9,,6.0,,0.36,TRUE,"Flagship fund I. Net DPI 6.0x — nearly fully realized. 2009 vintage now 16 years old. IRR estimated from TVPI/vintage.",GP-Disclosed
a16z,Andreessen Horowitz,AH Fund II,2010,Venture,Multi-Stage VC,656,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Pinterest, Airbnb, Box, Foursquare",a16z Firm Disclosure,2025-Q3,4.9,3.7,,3.5,,0.16,TRUE,"Net DPI 3.5x — largely realized. Strong performance for a $656M 2010 fund.",GP-Disclosed
a16z,Andreessen Horowitz,AH Annex Fund,2011,Venture,Multi-Stage VC,204,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Coinbase, Oculus, GitHub",a16z Firm Disclosure,2025-Q3,7.2,5.4,,5.1,,0.28,TRUE,"Net DPI 5.1x — nearly fully realized. Small annex vehicle, exceptional DPI.",GP-Disclosed
a16z,Andreessen Horowitz,AH Fund III,2012,Venture,Multi-Stage VC,997,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Lyft, Coinbase, Slack, GitHub, BuzzFeed",a16z Firm Disclosure,2025-Q3,15.7,11.3,,5.5,,0.25,TRUE,"Net TVPI 11.3x — best fund in a16z history. Net DPI 5.5x shows meaningful realization. $997M 2012 vintage.",GP-Disclosed
a16z,Andreessen Horowitz,AH Fund III Parallel,2012,Venture,Multi-Stage VC,542,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Coinbase, Slack, GitHub",a16z Firm Disclosure,2025-Q3,6.7,4.9,,3.2,,0.20,TRUE,"Parallel vehicle to Fund III — co-investment structure. Net DPI 3.2x.",GP-Disclosed
a16z,Andreessen Horowitz,AH Fund IV,2014,Venture,Multi-Stage VC,1173,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Lyft, GitHub, Airbnb, Robinhood, Figma",a16z Firm Disclosure,2025-Q3,5.5,4.1,,3.0,,0.16,TRUE,"Net TVPI 4.1x, Net DPI 3.0x. Solid large-fund performance. Figma was key driver.",GP-Disclosed
a16z,Andreessen Horowitz,AH Fund IV Parallel,2014,Venture,Multi-Stage VC,587,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Lyft, Figma, Robinhood",a16z Firm Disclosure,2025-Q3,4.7,3.5,,2.4,,0.13,TRUE,"Parallel co-invest vehicle. Net DPI 2.4x — good realization for 2014 vintage.",GP-Disclosed
a16z,Andreessen Horowitz,AH Fund V,2017,Venture,Multi-Stage VC,1189,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Robinhood, Figma, Coinbase, OpenSea",a16z Firm Disclosure,2025-Q3,4.0,3.1,,0.3,,0.12,TRUE,"Net TVPI 3.1x but Net DPI only 0.3x — mostly paper gains. 2017 vintage, distributions lagging.",GP-Disclosed
a16z,Andreessen Horowitz,AH Fund V Parallel,2017,Venture,Multi-Stage VC,596,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Figma, Robinhood, Coinbase",a16z Firm Disclosure,2025-Q3,8.1,6.0,,0.4,,0.24,TRUE,"Parallel vehicle to Fund V. Gross TVPI 8.1x outlier vs main fund — concentrated position. Net DPI 0.4x.",GP-Disclosed
Founders Fund,Founders Fund,Founders Fund I (FFI),2005,Venture,Multi-Stage VC,50,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"Palantir, SpaceX, Facebook, Spotify, Airbnb",Founders Fund Firm Disclosure,2024-Q3,,,7.7,7.7,,0.36,TRUE,"FFI: $50M 2005 vintage. DPI 7.7x — near fully distributed. Early Palantir and SpaceX. Exceptional realization.",GP-Disclosed
